;0;1;2;3;4;5;6;7;8;9;10;Asignacion
0;1;1;1;5;5;20;5,830951895;3,16227766;4;5,830951895;4,123105626;5
1;2;1;1;5;5;19;6,08276253;7;3,605551275;6,08276253;2,828427125;5
2;3;1;1;5;5;18;9,433981132;2,236067977;7,280109889;9,433981132;7,071067812;2
3;4;1;0;5;5;18;7,071067812;5,099019514;6,32455532;7,071067812;6,708203932;3
4;5;1;0;4;5;18;4,472135955;4,472135955;3,16227766;4,472135955;3,605551275;3
5;6;1;0;3;5;18;6,08276253;5;3;6,08276253;2;5
6;7;1;0;3;5;17;6,32455532;4;5,099019514;6,32455532;5,385164807;3
7;8;1;0;2;5;17;8,544003745;3,605551275;5,385164807;8,544003745;4,472135955;5
8;9;1;0;2;5;16;1,414213562;8,602325267;2,828427125;1,414213562;3,605551275;1
9;10;0;0;2;5;16;4;6,32455532;4,242640687;4;5;4
10;11;0;0;2;4;16;7,810249676;1;5,385164807;7,810249676;5,099019514;5
11;12;0;0;2;4;15;2;7,211102551;3,16227766;2;4,123105626;4
12;13;0;0;2;3;15;11,40175425;3,16227766;8,485281374;11,40175425;7,810249676;5
13;14;0;0;2;3;14;6,08276253;5;3;6,08276253;2;5
14;15;0;0;2;3;13;3;6,708203932;1;3;1,414213562;3
15;16;0;0;1;3;13;7,615773106;3,16227766;4,472135955;7,615773106;3,605551275;5
16;17;0;0;1;3;12;4;6,32455532;1,414213562;4;1;5
17;18;0;0;1;3;11;7,280109889;4,123105626;6,08276253;7,280109889;6,32455532;3
18;19;0;0;0;3;11;1,414213562;7,071067812;2;1,414213562;3;4
19;20;0;0;0;2;11;2,236067977;8,062257748;2,236067977;2,236067977;2,828427125;4
20;1;1;1;5;5;20;4,123105626;7,280109889;2,236067977;4,123105626;2;5
21;2;1;1;5;5;19;1;9,219544457;3,605551275;1;4,472135955;1
22;3;0;1;5;5;19;5;3,605551275;2,236067977;5;2;5
23;4;0;1;5;5;18;4;6,32455532;4,242640687;4;5;4
24;5;0;1;5;4;18;5,099019514;5,099019514;2;5,099019514;1;5
25;6;0;1;5;4;17;3;6,708203932;3,605551275;3;4,472135955;4
26;7;0;1;5;3;17;6;6;3,16227766;6;2,236067977;5
27;8;0;1;5;3;16;5,385164807;4,123105626;2,236067977;5,385164807;1,414213562;5
28;9;0;1;5;3;15;5;3,605551275;3;5;3,16227766;3
29;10;0;1;4;3;15;6,08276253;5;3;6,08276253;2;5
30;11;0;1;4;3;14;2;7,211102551;3,16227766;2;4,123105626;4
31;12;0;1;4;2;14;8,602325267;1,414213562;6,32455532;8,602325267;6,08276253;2
32;13;0;0;4;2;14;9,219544457;5;6,08276253;9,219544457;5,099019514;5
33;14;0;0;4;2;13;7,071067812;7,071067812;4,472135955;7,071067812;3,605551275;5
34;15;0;0;4;2;12;8;6,32455532;5,099019514;8;4,123105626;5
35;16;0;0;4;2;11;7,810249676;1;5,385164807;7,810249676;5,099019514;5
36;17;0;0;4;2;10;9,219544457;5;6,08276253;9,219544457;5,099019514;5
37;18;0;0;4;2;9;8,544003745;3,605551275;7;8,544003745;7,071067812;3
38;19;0;0;3;2;9;1,414213562;7,071067812;2;1,414213562;3;4
39;20;0;0;3;1;9;7,280109889;4,123105626;4,123105626;7,280109889;3,16227766;5
40;1;1;1;5;5;20;2;7,211102551;1,414213562;2;2,236067977;3
41;2;1;1;4;5;20;7,280109889;4,123105626;4,123105626;7,280109889;3,16227766;5
42;3;1;1;4;5;19;2;7,211102551;3,16227766;2;4,123105626;1
43;4;0;1;4;5;19;3,16227766;7,615773106;2;3,16227766;2,236067977;3
44;5;0;1;3;5;19;7,615773106;3,16227766;4,472135955;7,615773106;3,605551275;5
45;6;0;1;3;5;18;4,472135955;4,472135955;1,414213562;4,472135955;1;5
46;7;0;1;3;5;17;7,280109889;4,123105626;6,08276253;7,280109889;6,32455532;3
