;0;1;2;3;4;5;6;7;8;9;10;Asignacion
0;1;1;1;5;5;20;5,656854249;2,828427125;3,16227766;5,656854249;3;5
1;2;1;1;5;5;19;3,605551275;5;2,236067977;3,605551275;2,828427125;3
2;3;1;1;4;5;19;8,062257748;7,280109889;5,385164807;8,062257748;4,472135955;5
3;4;1;1;4;5;18;6,32455532;4;5,099019514;6,32455532;5,385164807;5
4;5;1;1;4;5;17;8,544003745;3,605551275;7;8,544003745;7,071067812;5
5;6;1;1;4;5;16;8,062257748;5,385164807;7,280109889;8,062257748;7,615773106;3
6;7;1;1;3;5;16;2,236067977;6,403124237;1;2,236067977;2;3
7;8;1;1;2;5;16;5,656854249;2,828427125;3,16227766;5,656854249;3;5
8;9;1;1;2;5;15;5,099019514;5,099019514;2;5,099019514;1;5
9;10;1;1;2;5;14;6,708203932;3;5;6,708203932;5,099019514;5
10;11;1;1;2;5;13;6,08276253;5;3;6,08276253;2;5
11;12;1;1;2;5;12;7,810249676;1;5;7,810249676;4,472135955;5
12;13;1;1;2;5;11;5,099019514;7,071067812;2,828427125;5,099019514;2,236067977;5
13;14;1;1;2;5;10;5,385164807;4,123105626;4,123105626;5,385164807;4,472135955;3
14;15;1;1;1;5;10;2;7,211102551;3,16227766;2;4,123105626;1
15;16;0;1;1;5;10;8,602325267;1,414213562;5,656854249;8,602325267;5;2
16;17;0;0;1;5;10;7,071067812;5,099019514;6,32455532;7,071067812;6,708203932;3
17;18;0;0;0;5;10;5;3,605551275;3;5;3,16227766;5
18;19;0;0;0;5;9;8,062257748;5,385164807;5;8,062257748;4;5
19;20;0;0;0;5;8;7,071067812;7,071067812;4,472135955;7,071067812;3,605551275;5
20;1;1;1;5;5;20;6,403124237;2,236067977;4,123105626;6,403124237;4;5
21;2;1;1;5;5;19;7,071067812;7,071067812;4,472135955;7,071067812;3,605551275;5
22;3;1;1;5;5;18;9,219544457;1;6,708203932;9,219544457;6,32455532;2
23;4;1;0;5;5;18;9,433981132;2,236067977;6,403124237;9,433981132;5,656854249;5
24;5;1;0;5;5;17;3;6,708203932;3,605551275;3;4,472135955;1
25;6;0;0;5;5;17;9;6,708203932;6,08276253;9;5,099019514;5
26;7;0;0;5;5;16;4,123105626;7,280109889;2,236067977;4,123105626;2;5
27;8;0;0;5;5;15;0;8,485281374;3,16227766;0;4,123105626;4
28;9;0;0;5;4;15;7,211102551;2;4,242640687;7,211102551;3,605551275;5
29;10;0;0;5;4;14;11,3137085;2,828427125;8,602325267;11,3137085;8,062257748;5
30;11;0;0;5;4;13;3;6,708203932;1;3;1,414213562;3
31;12;0;0;4;4;13;8,246211251;4,472135955;7,071067812;8,246211251;7,280109889;3
32;13;0;0;3;4;13;6;6;3,16227766;6;2,236067977;5
33;14;0;0;3;4;12;7,280109889;4,123105626;4,123105626;7,280109889;3,16227766;5
34;15;0;0;3;4;11;8,062257748;2,236067977;5;8,062257748;4,242640687;5
35;16;0;0;3;4;10;6;6;5,830951895;6;6,403124237;3
36;17;0;0;2;4;10;10,63014581;2,236067977;7,810249676;10,63014581;7,211102551;5
37;18;0;0;2;4;9;8;6,32455532;5,099019514;8;4,123105626;5
38;19;0;0;2;4;8;8,94427191;2,828427125;7,071067812;8,94427191;7;5
39;20;0;0;2;4;7;7,615773106;3,16227766;4,472135955;7,615773106;3,605551275;5
40;1;1;1;5;5;20;10,63014581;2,236067977;8,062257748;10,63014581;7,615773106;2
41;2;1;0;5;5;20;5,656854249;2,828427125;3,16227766;5,656854249;3;5
42;3;1;0;5;5;19;7,071067812;5,099019514;6,32455532;7,071067812;6,708203932;3
43;4;1;0;4;5;19;10;2;7,071067812;10;6,403124237;5
44;5;1;0;4;5;18;10,63014581;2,236067977;7,810249676;10,63014581;7,211102551;5
45;6;1;0;4;5;17;8,602325267;1,414213562;5,656854249;8,602325267;5;5
46;7;1;0;4;5;16;3;6,708203932;1;3;1,414213562;3
47;8;1;0;3;5;16;3;6,708203932;1;3;1,414213562;3
48;9;1;0;2;5;16;7,615773106;3,16227766;4,472135955;7,615773106;3,605551275;5
49;10;1;0;2;5;15;5,099019514;5,099019514;4,472135955;5,099019514;5;3
50;11;1;0;1;5;15;5;6,08276253;2,236067977;5;1,414213562;5
51;12;1;0;1;5;14;1;7,810249676;2,236067977;1;3,16227766;4
52;13;1;0;1;4;14;2,236067977;6,403124237;2,236067977;2,236067977;3,16227766;4
53;14;1;0;1;3;14;8,062257748;5,385164807;7,280109889;8,062257748;7,615773106;5
54;15;1;0;1;3;13;2,236067977;6,403124237;2,236067977;2,236067977;3,16227766;4
55;16;1;0;1;2;13;1;9,219544457;3,605551275;1;4,472135955;1
56;17;0;0;1;2;13;3;6,708203932;1;3;1,414213562;3
57;18;0;0;0;2;13;6,708203932;3;3,605551275;6,708203932;2,828427125;5
58;19;0;0;0;2;12;7,211102551;2;4,242640687;7,211102551;3,605551275;5
59;20;0;0;0;2;11;6,403124237;2,236067977;3,605551275;6,403124237;3,16227766;5
60;1;1;1;5;5;20;5,099019514;5,099019514;2;5,099019514;1;5
61;2;1;1;5;5;19;1;9,219544457;3,605551275;1;4,472135955;1
62;3;0;1;5;5;19;5,385164807;4,123105626;2,236067977;5,385164807;1,414213562;5
63;4;0;1;5;5;18;2,236067977;6,403124237;2,236067977;2,236067977;3,16227766;4
64;5;0;1;5;4;18;6;6;5,830951895;6;6,403124237;3
65;6;0;1;4;4;18;1;7,810249676;3;1;4;4
66;7;0;1;4;3;18;8,94427191;2,828427125;5,830951895;8,94427191;5;5
67;8;0;1;4;3;17;5,099019514;5,099019514;2;5,099019514;1;5
68;9;0;1;4;3;16;7,071067812;5,099019514;6,32455532;7,071067812;6,708203932;3
69;10;0;1;3;3;16;6,08276253;5;3;6,08276253;2;5
70;11;0;1;3;3;15;7;6,08276253;4,123105626;7;3,16227766;5
71;12;0;1;3;3;14;5;3,605551275;3;5;3,16227766;5
72;13;0;1;3;3;13;5,099019514;7,071067812;2,828427125;5,099019514;2,236067977;5
73;14;0;1;3;3;12;8,062257748;5,385164807;7,280109889;8,062257748;7,615773106;3
74;15;0;1;2;3;12;10;2;7,615773106;10;7,280109889;2
75;16;0;0;2;3;12;4,123105626;5,385164807;1;4,123105626;0;5
76;17;0;0;2;3;11;2,828427125;5,656854249;1,414213562;2,828427125;2,236067977;3
77;18;0;0;1;3;11;9;6,708203932;6,08276253;9;5,099019514;5
78;19;0;0;1;3;10;4,472135955;4,472135955;3,16227766;4,472135955;3,605551275;3
79;20;0;0;0;3;10;7,280109889;4,123105626;4,123105626;7,280109889;3,16227766;5
80;1;1;1;5;5;20;8,062257748;5,385164807;7,280109889;8,062257748;7,615773106;3
81;2;1;1;4;5;20;8,485281374;0;5,830951895;8,485281374;5,385164807;2
82;3;1;0;4;5;20;11,3137085;2,828427125;8,602325267;11,3137085;8,062257748;5
83;4;1;0;4;5;19;7,071067812;5,099019514;6,32455532;7,071067812;6,708203932;3
84;5;1;0;3;5;19;9,055385138;5,830951895;6;9,055385138;5;5
85;6;1;0;3;5;18;9,055385138;5,830951895;6;9,055385138;5;5
86;7;1;0;3;5;17;4,123105626;5,385164807;1;4,123105626;0;5
87;8;1;0;3;5;16;8,062257748;5,385164807;5;8,062257748;4;5
88;9;1;0;3;5;15;10;2;7,615773106;10;7,280109889;5
89;10;1;0;3;5;14;6,32455532;4;5,099019514;6,32455532;5,385164807;3
90;11;1;0;2;5;14;8,062257748;2,236067977;6,08276253;8,062257748;6;5
91;12;1;0;2;5;13;3,605551275;5;1;3,605551275;1,414213562;3
92;13;1;0;1;5;13;10;2;7,615773106;10;7,280109889;5
93;14;1;0;1;5;12;8,602325267;1,414213562;6,32455532;8,602325267;6,08276253;5
94;15;1;0;1;5;11;9,219544457;5;6,08276253;9,219544457;5,099019514;5
95;16;1;0;1;5;10;5,656854249;2,828427125;3,16227766;5,656854249;3;5
96;17;1;0;1;5;9;6,32455532;4;5,099019514;6,32455532;5,385164807;5
97;18;1;0;1;5;8;4,123105626;5,385164807;3,605551275;4,123105626;4,242640687;3
98;19;1;0;0;5;8;1,414213562;8,602325267;2,828427125;1,414213562;3,605551275;1
99;20;0;0;0;5;8;7,071067812;7,071067812;4,472135955;7,071067812;3,605551275;5
100;1;1;1;5;5;20;5,099019514;5,099019514;4,472135955;5,099019514;5;3
101;2;1;1;4;5;20;6,08276253;5;5,385164807;6,08276253;5,830951895;3
102;3;1;1;3;5;20;6,32455532;4;3,16227766;6,32455532;2,236067977;5
103;4;1;1;3;5;19;3;6,708203932;3,605551275;3;4,472135955;4
104;5;1;1;3;4;19;5,656854249;2,828427125;3,16227766;5,656854249;3;5
105;6;1;1;3;4;18;9,219544457;1;6,708203932;9,219544457;6,32455532;2
106;7;1;0;3;4;18;4,123105626;7,280109889;2,236067977;4,123105626;2;5
107;8;1;0;3;4;17;7,280109889;4,123105626;6,08276253;7,280109889;6,32455532;3
108;9;1;0;2;4;17;6,08276253;5;3;6,08276253;2;5
109;10;1;0;2;4;16;7,071067812;1,414213562;4,472135955;7,071067812;4,123105626;5
110;11;1;0;2;4;15;8,602325267;1,414213562;6,32455532;8,602325267;6,08276253;5
111;12;1;0;2;4;14;7,615773106;3,16227766;4,472135955;7,615773106;3,605551275;5
112;13;1;0;2;4;13;8,062257748;7,280109889;5,385164807;8,062257748;4,472135955;5
113;14;1;0;2;4;12;8,602325267;1,414213562;5,656854249;8,602325267;5;5
114;15;1;0;2;4;11;6,708203932;3;3,605551275;6,708203932;2,828427125;5
115;16;1;0;2;4;10;7,280109889;4,123105626;6,08276253;7,280109889;6,32455532;3
116;17;1;0;1;4;10;9,219544457;1;6,403124237;9,219544457;5,830951895;5
